Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,NumberOfMatches,Pattern,Mean,Error,Min,Max,Scaled,ScaledSD,Allocated
Compiled_Regex_IsMatch,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,p?th/a[bcd]b[e-g].txt,NA,NA,NA,NA,?,?,N/A
DotNetGlob_IsMatch,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,p?th/a[bcd]b[e-g].txt,NA,NA,NA,NA,?,?,N/A
Compiled_Regex_IsMatch,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,p?th/a[bcd]b[e-g].txt,NA,NA,NA,NA,?,?,N/A
DotNetGlob_IsMatch,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,p?th/a[bcd]b[e-g].txt,NA,NA,NA,NA,?,?,N/A
Compiled_Regex_IsMatch,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,p?th/a[bcd]b[e-g]a[1-4][!wxyz][!a-c][!1-3].txt,NA,NA,NA,NA,?,?,N/A
DotNetGlob_IsMatch,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,p?th/a[bcd]b[e-g]a[1-4][!wxyz][!a-c][!1-3].txt,NA,NA,NA,NA,?,?,N/A
Compiled_Regex_IsMatch,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,p?th/a[bcd]b[e-g]a[1-4][!wxyz][!a-c][!1-3].txt,NA,NA,NA,NA,?,?,N/A
DotNetGlob_IsMatch,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,p?th/a[bcd]b[e-g]a[1-4][!wxyz][!a-c][!1-3].txt,NA,NA,NA,NA,?,?,N/A
Compiled_Regex_IsMatch,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,p?th/a[e-g].txt,NA,NA,NA,NA,?,?,N/A
DotNetGlob_IsMatch,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,p?th/a[e-g].txt,NA,NA,NA,NA,?,?,N/A
Compiled_Regex_IsMatch,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,p?th/a[e-g].txt,NA,NA,NA,NA,?,?,N/A
DotNetGlob_IsMatch,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,p?th/a[e-g].txt,NA,NA,NA,NA,?,?,N/A
Compiled_Regex_IsMatch,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,p?th/a[bcd]b[e-g].txt,NA,NA,NA,NA,?,?,N/A
DotNetGlob_IsMatch,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,p?th/a[bcd]b[e-g].txt,NA,NA,NA,NA,?,?,N/A
Compiled_Regex_IsMatch,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,p?th/a[bcd]b[e-g].txt,NA,NA,NA,NA,?,?,N/A
DotNetGlob_IsMatch,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,p?th/a[bcd]b[e-g].txt,NA,NA,NA,NA,?,?,N/A
Compiled_Regex_IsMatch,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,p?th/a[bcd]b[e-g]a[1-4][!wxyz][!a-c][!1-3].txt,NA,NA,NA,NA,?,?,N/A
DotNetGlob_IsMatch,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,p?th/a[bcd]b[e-g]a[1-4][!wxyz][!a-c][!1-3].txt,NA,NA,NA,NA,?,?,N/A
Compiled_Regex_IsMatch,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,p?th/a[bcd]b[e-g]a[1-4][!wxyz][!a-c][!1-3].txt,NA,NA,NA,NA,?,?,N/A
DotNetGlob_IsMatch,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,p?th/a[bcd]b[e-g]a[1-4][!wxyz][!a-c][!1-3].txt,NA,NA,NA,NA,?,?,N/A
Compiled_Regex_IsMatch,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,p?th/a[e-g].txt,NA,NA,NA,NA,?,?,N/A
DotNetGlob_IsMatch,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,p?th/a[e-g].txt,NA,NA,NA,NA,?,?,N/A
